Course_Code,Section,Course_Name,Status,Instructor,Room,Days,Time
MGMT 390,2,Business Policy,Closed,Subodh Kulkarni,CB4-428,"Monday, Wednesday",5:10 PM - 6:30 PM
MILI 001,1,MSI Leadership Lab,Open,Amber Lamb,DGH-19,Friday,6:30 AM - 8:00 AM
MILI 003,1,MS II Leadership Lab 201L,Open,Amber Lamb,DGH-207,Friday,6:30 AM - 8:00 AM
MILI 005,1,MS III Leadership Lab 301L,Open,Daniel Kielbasa,DGH-104,Friday,6:30 AM - 8:00 AM
MILI 007,1,MS IV Leadership Lab 401L,Open,Wendell Bryant,N/A,Friday,6:30 AM - 8:00 AM
MILI 013,1,The American Mil. Exp. to 1865,Open,N/A,N/A,"Tuesday, Thursday",9:00 AM - 10:30 AM
MILI 101,1,Introduction to Army ROTC,Open,Amber Lamb,N/A,Wednesday,6:30 AM - 8:00 AM
MILI 201,1,MS II Innovative Team Leader,Open,Daniel Kielbasa,N/A,Tuesday,10:00 AM - 12:00 PM
MILI 301,1,MS III Adapt Tactical Leader,Open,Daniel Kielbasa,N/A,"Monday, Wednesday",6:30 AM - 8:00 AM
MILI 401,1,MS IV Lead Chal-Goal Sett,Open,Wendell Bryant,N/A,"Monday, Wednesday",6:30 AM - 8:00 AM
MJFC 100,1,Fundamentals of Journalism,Open,Gracie Lawson-Borders,ASA-205,"Tuesday, Thursday",8:10 AM - 9:30 AM
MJFC 100,2,Fundamentals of Journalism,Waitlist,Ericka Blount,ASA-306,"Tuesday, Thursday",11:10 AM - 12:30 PM
MJFC 101,2,Intro to Mass Communications,Closed,Quazi Ahmed,ASA-100,"Tuesday, Thursday",9:40 AM - 11:00 AM
MJFC 101,3,Intro to Mass Communications,Waitlist,Quazi Ahmed,ASA-100,"Tuesday, Thursday",11:10 AM - 12:30 PM
MJFC 200,1,Intro to Media Production.,Open,Jami Ramberan,WHUT-206,"Tuesday, Thursday",8:10 AM - 9:30 AM
MJFC 200,2,Intro to Media Production.,Open,Jami Ramberan,WHUT-205,"Tuesday, Thursday",8:10 AM - 9:30 AM
MJFC 200,3,Intro to Media Production.,Open,Jami Ramberan,WHUT-206,"Monday, Wednesday",5:10 PM - 6:30 PM
MJFC 200,4,Intro to Media Production.,Waitlist,Jami Ramberan,WHUT-207,"Wednesday, Friday",1:10 PM - 2:30 PM
MJFC 200,5,Intro to Media Production-FtF,Open,Jami Ramberan,WHUT-207,"Tuesday, Thursday",5:10 PM - 6:30 PM
MJFC 201,2,Multimedia Storytelling,Waitlist,Jami Ramberan,ASA-208,"Monday, Wednesday",9:40 AM - 11:00 AM
MJFC 201,3,Multimedia Storytelling,Open,Stacey Patton,ASA-105,Wednesday,9:40 AM - 12:00 PM
MJFC 203,1,Visual Journalism,Open,Cheriss May,ASA-109,"Tuesday, Thursday",9:40 AM - 11:00 AM
MJFC 203,2,Visual Journalism,Open,Cheriss May,ASA-104,"Tuesday, Thursday",2:10 PM - 3:30 PM
MJFC 204,1,Intro. to Digital Journalism,Open,Kenneth Lee,ASA-104,Wednesday,2:10 PM - 5:00 PM
MJFC 204,2,Intro. to Digital Journalism,Open,Kenneth Lee,ASA-104,"Tuesday, Thursday",3:40 PM - 5:00 PM
MJFC 211,1,Announcing&Interview.(Podcast),Open,Sonja Williams,WHUT-207,"Monday, Wednesday",3:10 PM - 4:30 PM
MJFC 223,1,Film & TV Production,Open,Be Steadwell,WHUT-112,Monday,5:10 PM - 8:00 PM
MJFC 223,2,Film & TV Production,Open,Jolene Carter,WHUT-108,"Monday, Wednesday",2:10 PM - 3:30 PM
MJFC 223,4,Film & TV Production,Open,Jolene Carter,WHUT-108,"Monday, Wednesday",3:40 PM - 5:00 PM
MJFC 223,5,Film & TV Production,Closed,Joshua Lowery,WHUT-112,"Tuesday, Thursday",11:10 AM - 12:30 PM
MJFC 223,6,Film & TV Production,Open,Akosua Adoma Owusu,WHUT-112,Wednesday,9:40 AM - 12:00 PM
MJFC 225,1,History of  Broadcast & Film,Open,Vasilios Papaioannu,ASA-202,Tuesday,9:40 AM - 12:30 PM
MJFC 225-2 - History of  Broadcast & Film,N/A,History of  Broadcast & Film,Waitlist,Jami Ramberan,ASA-202,Wednesday,5:10 PM - 8:00 PM
MJFC 301,1,Co-Curricular Audio,Open,Sonja Williams,WHUT-207,Wednesday,10:10 AM - 11:00 AM
MJFC 305,1,Co-Curricular: Truth be Told,Open,Ericka Blount,ASA-109,"Tuesday, Thursday",2:10 PM - 3:30 PM
MJFC 309,1,Co-Curricular: 101 Magazine II,Open,Ericka Blount,ASA-104,"Tuesday, Thursday",9:40 AM - 11:00 AM
MJFC 310,1,Multicultural Media History,Open,Hazel Edney,ASA-101,"Tuesday, Thursday",8:10 AM - 9:30 AM
MJFC 310,2,Multicultural Media History,Open,Gracie Lawson-Borders,ASA-205,"Tuesday, Thursday",10:10 AM - 11:30 AM
MJFC 311,1,Interactive Editing,Open,Daarel Burnette II,ASA-110,"Monday, Wednesday",5:40 PM - 7:00 PM
MJFC 312,3,Digital Design,Open,Jami Ramberan,ASA-109,Monday,11:10 AM - 2:00 PM
MJFC 313,2,Public Affairs Reporting,Open,Stacey Patton,ASA-208,"Monday, Wednesday",2:10 PM - 3:30 PM
MJFC 313,4,Public Affairs Reporting,Open,Daarel Burnette II,ASA-109,"Monday, Wednesday",8:10 AM - 9:30 AM
MJFC 314,1,Data-driven Storytelling,Open,Sean Campbell,ASA-110,"Monday, Wednesday",10:10 AM - 11:30 AM
MJFC 318,1,ST: Hlth. & 3 Science Writing,Open,Yanick Lamb,ASA-110,Tuesday,9:10 AM - 12:00 PM
MJFC 319,1,Broadcast Journalism,Open,Christine McWhorter,WHUT-205,"Tuesday, Thursday",9:40 AM - 11:00 AM
MJFC 321,1,Adv. Multimedia Storytelling,Open,dominic k. mckenzie,ASA-209,Monday,5:10 PM - 8:00 PM
MJFC 321,2,Adv. Multimedia Storytelling,Open,dominic k. mckenzie,ASA-209,Wednesday,2:10 PM - 5:00 PM
MJFC 327,2,Adv Broadcast Journalism,Open,Christine McWhorter,WHUT-205,"Tuesday, Thursday",11:10 AM - 12:30 PM
MJFC 327,3,Adv Broadcast Journalism,Open,Christine McWhorter,WHUT-205,"Monday, Wednesday",2:10 PM - 3:30 PM
MJFC 329,1,Sports Reporting,Open,Deron Snyder,ASA-104,Friday,11:10 AM - 2:00 PM
MJFC 330,1,Multimedia Audio Production,Open,Heidi Gerber-Salins,WHUT-205,"Monday, Wednesday",9:10 AM - 10:30 AM
MJFC 330,2,Mulitmedia Audio Production,Open,Heidi Gerber-Salins,WHUT-207,"Monday, Wednesday",11:10 AM - 12:30 PM
MJFC 331,1,Audio for TV & Film,Open,Carolyn Malachi,WHUT-108,"Tuesday, Thursday",5:10 PM - 6:30 PM
MJFC 331,2,Audio for TV & Film,Open,Thom Woodward,WHUT-206,"Monday, Wednesday",10:40 AM - 12:00 PM
MJFC 331,3,Audio for TV & Film,Open,Thom Woodward,WHUT-206,"Monday, Wednesday",9:10 AM - 10:30 AM
MJFC 333,1,Music in Media,Closed,Maya Giles,WHUT-206,"Tuesday, Thursday",2:10 PM - 3:30 PM
MJFC 340,1,Scriptwriting,Waitlist,Sonja Williams,WHUT-205,"Monday, Wednesday",11:10 AM - 12:30 PM
MJFC 340,2,Scriptwriting,Waitlist,Shom Shamapande,ASA-209,"Tuesday, Thursday",10:10 AM - 11:30 AM
MJFC 340,3,Scriptwriting,Waitlist,Jami Ramberan,ASA-208,"Tuesday, Thursday",2:10 PM - 3:30 PM
MJFC 340,4,Scriptwriting,Open,Joy Cheriel Brown,ASA-109,"Monday, Wednesday",2:10 PM - 3:30 PM
MJFC 340,5,Scriptwriting,Open,Jami Ramberan,ASA-209,"Tuesday, Thursday",4:10 PM - 5:30 PM
MJFC 343,2,Cinematography I,Open,Idit Dvir,WHUT-112,Wednesday,2:10 PM - 5:00 PM
MJFC 343,3,Cinematography I,Open,LaDawn Manuel,WHUT-112,Monday,2:10 PM - 5:00 PM
MJFC 343,8,Cinematography I,Open,LaDawn Manuel,WHUT-112,Tuesday,2:10 PM - 5:00 PM
MJFC 347,1,Producing for Film & TV,Waitlist,Kristen Carethers,ASA-105,Monday,11:40 AM - 2:30 PM
MJFC 347,2,Producing for Film & TV,Closed,Kristen Carethers,ASA-105,Monday,3:10 PM - 6:00 PM
MJFC 347,3,Producing for Film & TV,Closed,Shom Shamapande,ASA-209,"Tuesday, Thursday",2:10 PM - 3:30 PM
